ad_id	site_id	frequency	total_users
160x600	specificmedia1	12	2
dinnerseriespkg	evite	12	3
42187001	95546	12	1
branding_2	torcedores	12	2
2010227	7704	10	2
137750	dstillery	10	1
homepage1x1nonsurveyable	amazonproper	10	12
728x90_tortillakit_345g_fresh	aap	10	1
contextual	healthline	10	1
omdp_highimpact	1accuen	10	1
300x250	amobee-mobile	10	1
zillow_custom_1x1	zillow	10	38
halloweenforkids	evite	10	10
branding_2	R7.com	10	1
48304776	62574	10	1
1024x100_october_amnettarget_pb_baseboard_a	amnetgroup	10	1
creative	brightrollexchange	10	1
standardvideo	clearstream	10	3
300x250	specificmedia1	10	2
92974135	N9724.157906TIMEINC	10	1
1x1	saymedia	10	5
aapvideo	aap	10	1
cnbc_mis_takeover_728x90	cnbc	10	1
oadm_300x250	googledbm	10	1
92096749	N9724.288332ACCUEN	10	1
creative	thebump_mobile	10	7
728x90	brandnet	10	4
138212735738	meredith	10	1
bonapp_highimpactcrown_1920x520	bonappetit	10	10
78134974	N5371.157906.TIMEINC.COM	10	1
display	google	10	4
video	clearstream	10	18
300x250	amazonproper	10	6
mic1x1	mic	10	1
edmunds_custom_1x1	edmunds	10	26
1074482319	70120	10	1
970x250	appnexus	10	2
793215	videology	10	1
display_banners	google	10	2
300x250splashbox	fusionmediagroup	10	1
dynamiccriteo	criteo	10	20
video30_2	yahoo	10	2
93508110	N4682.284566THETRADEDESK	10	3
93563786	N4682.284566THETRADEDESK	10	2
42186968	95546	10	1
logo	realtor	10	170
display-banner	Awlogy	10	1
creative	radiumone	10	5
branding	rakutenmarketing	10	1
728x90	aap	10	3
92060577	N9724.288332ACCUEN	10	7
137725	dstillery	10	3
2018833	7155	10	1
728x90	Uol	10	2
waiverwirespon	cbssports	10	1
728x90	justpremium	10	1
300x250	aap	10	8
160x600	specificmedia1	10	4
78134286	N5371.157906.TIMEINC.COM	10	2
300x250	sojern	10	1
160x600	aap	10	2
91895094	dataxu	10	1
728x90	sojern	10	1
kidsactivities	evite	10	6
-	entrepreneur	10	1
richmedia	drawbridgemobile	10	1
160x600_btfsearch_deaoct_ban_amazon_x1s	amazon	10	1
728x90_october_amnettarget_contextual_stickya	amnetgroup	10	1
oadw160x600	googledbm	10	1
92062113	N9724.288332ACCUEN	10	1
78134957	N5371.274177.WEBMD	10	2
creative	vibrantmedia	10	5
spavideo	quantcast	10	2
808109	videology	10	1
displaysequential	clearstream	10	4
sojernjivox	sojern	10	1
970x250	amazon	10	1
300x600	specificmedia1	10	1
babyshowercatpack	evite	10	2
42188883	23043	10	1
-	torcedores	10	1
138212518212	335798	10	1
video	conversant	10	1
300x100_ign_rosfeaturedunit_x1x	ign	10	2
970x250_billboard	globonoticias	10	2
-	teads	10	1
video	spotxchange	10	2
deterministic_butterfly_728x90	dcbm	10	1
creative	bustlemobile	10	13
48700985	18556	10	1
715276	brightrollexchange	10	1
native3	brightrollexchange	10	8
980x55	amazonproper	10	1
contobox-300x600-1x1	rogers	10	1
93298069	N5118.1302111CLEARSTREAM.TV	10	1
78134974	N5371.274177.WEBMD	10	1
mlb_sponsorship_300x250_mobile	tuneinmobile	10	1
1988574	7704	10	3
94080066	N4620.150834TURN	10	1
728x90leaderboard	fusionmediagroup	10	1
2018825	7155	10	1
300x250	mashable	10	1
728x90	specificmedia1	10	2
searchpage	amazonproper	10	1
sale_text_logo_link	realtor	10	1
milesoflife	clearstream	10	1
parentsbundle	evite	10	1
probabilistic_fox_video30s	dcbm	10	2
138211697320	meredith	10	1
160x600	amazonproper	10	1
92762802	N553.Rocketfuel	10	1
homes_custom_1x1	homes	10	7
2014831	7704	10	4
970x250	apartmenttherapy	10	1
creative	babycentermobile	10	1
91605435	dataxu	10	1
92510841	N482206.2164100DRAWBRIDGECROSSDE	10	1
video15	yahoo	10	1
138212201449	meredith	10	1
92711509	N9515.151757EXCHANGELAB3	10	1
92092795	N9724.288332ACCUEN	10	4
adarajivox	adaramedia	10	6
-	adconion	10	1
246004	1994-innovid	10	1
92061123	N9724.2550REALTOR.COM	10	1
300x250	brandnet	10	4
740942	brightrollexchange	10	1
2006251	7704	10	1
300x250	conversant	10	2
1988585	4810	10	2
deterministic_butterfly_160x600	education	10	1
branding_2	torcedores	10	2
92506046	N9724.2106WEATHERCHANNEL	10	1
93718454	N553.Rocketfuel	10	1
creative	everydayhealthmobile	10	1
video	specificmedia1	10	1
91951408	dataxu	10	1
video	turn	10	5
92062179	N9724.2550REALTOR.COM	10	2
dstillerymedia6degreesjivox	dstillery	10	3
970x250_billboard2	Globo	10	5
78407628	N124603.3804ONIONINC	10	1
carselfies	clearstream	10	1
93495146	N7310.752083.NETMININGLLC	10	1
91906067	N553.Rocketfuel	10	2
1928754	3155	10	1
160x600	brandnet	10	2
48275855	84411	10	1
2014502	7704	10	1
tubemogul_ox_desktop	tubemogul	10	1
92974129	N9724.157906TIMEINC	10	1
aap	aap	10	1
-	aol	10	4
probabilistic_butterfly_video30s	dcbm	10	1
48275245	3758	10	1
